venue_1,venue_2,season_0,season_1,season_2,season_3,season_4,average_score_before_match_team2,win_percent_before_team2,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,win_percent_diff,ELO_before_match_team2,ELO_before_diff,draw_percent_before_team2,is_opponent_big6,average_score_before_match_team1,average_score_before_match_diff,Cluster,match_type,win_rate_type
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3515883201594073,0.4,0.2,0.3,0.5,0.2,0.5,0.41206023587217033,0.00045334628696186414,0.4,0.0,2.6,1.0,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3515883201594073,0.4,0.2,0.7,0.2,0.1,0.9999999999999999,-0.05571673480106232,0.29088947047337166,0.4,0.0,3.0,1.4,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.4582360264985992,0.2,0.4,0.5,0.3,0.2,1.5000000000000002,-0.06252246897316534,0.4215576925358245,0.4,0.0,3.0,2.0,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.7281774753846012,0.2,0.6,1.0,0.0,0.0,1.5000000000000002,-1.132133436360881,1.0282705281455833,0.2,0.0,3.0,2.2,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3515883201594073,0.4,0.2,0.5,0.2,0.3,0.5,2.9171307980935306,-1.1978783736598253,0.4,1.0,2.4,0.7999999999999998,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.8079432709286098,0.0,1.0,0.8571428571428571,0.1428571428571428,0.0,1.5000000000000002,-2.6590992641657083,1.9873035815775297,0.0,0.0,2.4,2.4,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8914712179314114,0.6,0.2,0.7,0.2,0.1,0.0,-1.3858077607377173,1.491678388670379,0.2,0.0,2.4,0.3999999999999999,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3515883201594073,0.4,0.2,0.3,0.2,0.5,-2.7755575615628914e-16,1.4741912165320903,-0.22273765569192738,0.4,1.0,1.8,0.1999999999999999,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.4582360264985992,0.2,0.4,0.7142857142857143,0.0,0.2857142857142857,0.0,-0.5114438228364994,0.8489699127182481,0.4,0.0,1.4,0.3999999999999999,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.7281774753846012,0.2,0.6,1.0,0.0,0.0,0.0,-0.39214467405897985,0.837557502979425,0.2,0.0,1.6,0.8,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3515883201594073,0.4,0.2,0.6,0.2,0.2,-1.0,-0.5547103316656666,0.8728346734797172,0.4,0.0,1.2,-0.4000000000000001,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.8079432709286098,0.0,0.0,0.5,0.4,0.1,-0.5,0.0962870102378639,-0.4855766964693519,0.0,0.0,0.0,0.0,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.4582360264985992,0.0,0.0,0.625,0.125,0.25,-0.5,0.0962870102378639,-0.4855766964693519,1.0,0.0,1.0,0.0,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.1330896487136044,0.0,0.5,0.3,0.4,0.3,-0.5,-0.06677878397546586,-0.39606438071059935,0.5,1.0,1.0,0.5,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.8079432709286098,0.0,1.0,0.5,0.3,0.2,0.33333333333333326,-0.30206521994855606,-0.16995216022342702,0.0,0.0,1.6666666666666667,1.6666666666666667,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.8914712179314114,0.5,0.0,0.5,0.2,0.3,-0.5,0.3912453825479773,-0.47733955410626083,0.5,1.0,2.0,0.0,0,Average Opponent,Diverse Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.7012955645894179,0.8,0.0,0.3,0.2,0.5,-1.5000000000000002,0.6847185727222699,-0.6378441994701777,0.2,1.0,1.8,-0.8,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3515883201594073,0.4,0.2,0.6,0.2,0.2,-0.5,0.44024097422608066,-0.5628837718057952,0.4,0.0,1.6,0.0,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.2680603731566056,0.0,0.6,0.75,0.25,0.0,0.9999999999999999,-0.7494278179744288,0.16918020918998822,0.4,0.0,2.0,1.6,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.2680603731566056,0.0,0.6,0.5,0.0,0.5,0.5,-0.6365328952266242,0.08312980732780305,0.4,0.0,1.4,1.0,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.4313541157034155,0.8,0.2,0.2,0.2,0.6,-1.5000000000000002,0.9134036818282288,-0.7390210127446788,0.0,1.0,1.4,-1.0,0,Average Opponent,Diverse Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.18829457761259716,0.2,0.2,0.5,0.3,0.2,0.0,0.5191709604394339,-0.6174698001207272,0.6,0.0,1.2,0.0,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.18829457761259716,0.4,0.6,0.4,0.3,0.3,-0.5,0.18116238588839806,-0.42251818978521977,0.0,1.0,1.4,0.1999999999999999,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.7281774753846012,0.2,0.6,0.5,0.3,0.2,0.0,-0.7268859965880801,0.1699046958409749,0.2,0.0,1.4,0.5999999999999999,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.18829457761259716,0.2,0.2,0.8,0.2,0.0,0.0,0.5703706942609788,-0.5032150945620875,0.6,0.0,1.6,0.4000000000000001,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6215297690454094,0.4,0.0,0.5,0.0,0.5,-1.0,0.39973550505557265,-0.4108166662927417,0.6,0.0,1.2,-0.6000000000000001,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6215297690454094,0.6,0.4,0.6,0.2,0.2,-1.4999999999999996,0.6885079880201435,-0.6647132516157913,0.0,0.0,1.2,-0.6000000000000001,0,Average Opponent,Diverse Win Rate
