result,venue,season,win_percent_diff,draw_percent_before_team2,draw_percent_diff,lose_percent_before_team1,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team2,average_score_before_match_diff
L,Away,2010-2011,0.6000000000000001,0.6,-0.39999999999999997,0.0,0.2,1.0,0.0,0.0,1,1963.3894310091125,204.04429439986757,1.2,1.4000000000000001
W,Home,2010-2011,-0.4,0.0,0.2,0.2,0.0,0.0,0.0,1.0,1,2076.9675669014086,75.71432600328035,3.0,-1.0
D,Away,2010-2011,0.39999999999999997,0.4,-0.2,0.2,0.4,1.0,0.0,0.0,0,1272.436901779154,904.7906825144726,1.0,1.0
W,Home,2010-2011,0.2,0.6,-0.19999999999999996,0.2,0.2,1.0,0.0,0.0,0,1309.6729368547108,892.282612939221,1.2,0.40000000000000013
W,Away,2011-2012,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0,1500.0,0.0,0.0,0.0
W,Home,2011-2012,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1,1500.0,0.0,0.0,3.0
W,Home,2011-2012,1.0,0.5,-0.5,0.0,0.5,0.5,0.0,0.5,1,1462.5,81.25,0.5,2.5
W,Away,2011-2012,0.6666666666666667,0.0,0.0,0.0,0.6666666666666666,0.5,0.5,0.0,0,1475.767065726021,108.90594881449601,1.0,2.0
W,Home,2011-2012,0.25,0.25,-0.25,0.0,0.0,0.5,0.0,0.5,1,1602.3248940661715,47.52703780621255,2.5,0.5
D,Away,2011-2012,0.6,0.4,-0.4,0.0,0.2,1.0,0.0,0.0,0,1540.7835217869535,141.47040148385622,1.6,1.4
W,Home,2011-2012,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0,1489.6662362806865,202.2396744626376,1.4,1.2000000000000002
D,Away,2011-2012,0.20000000000000007,0.0,0.2,0.0,0.4,0.5,0.0,0.5,1,1580.7710182145584,128.97796655527873,1.8,0.8
L,Home,2011-2012,-0.20000000000000007,0.2,0.2,0.0,0.0,0.5,0.5,0.0,1,1810.8450758474744,-92.21944759767439,2.6,-0.3999999999999999
W,Away,2011-2012,0.0,0.0,0.4,0.2,0.6,0.5,0.5,0.0,0,1429.3188618202423,252.2750825365606,1.2,0.40000000000000013
W,Home,2011-2012,0.2,0.4,0.0,0.2,0.4,0.5,0.5,0.0,0,1494.4319488159133,237.80816095144155,1.0,0.6000000000000001
W,Away,2011-2012,0.19999999999999996,0.4,-0.2,0.2,0.2,0.0,0.0,0.0,0,1460.1245613007677,284.7900584112192,1.6,0.3999999999999999
D,Home,2011-2012,0.0,0.2,0.0,0.2,0.2,0.5,0.5,0.0,0,1634.53330668067,162.72200136576794,2.0,0.0
W,Away,2011-2012,0.39999999999999997,0.4,-0.2,0.2,0.4,0.5,0.5,0.0,0,1429.1628480936954,357.17079867332905,1.0,1.0
W,Home,2011-2012,0.4,0.0,0.2,0.0,0.6,0.5,0.0,0.5,0,1282.8548391109125,558.8885917350683,1.2,1.4000000000000001
W,Away,2011-2012,0.6000000000000001,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0,1450.2910249671377,394.82314837708395,0.8,1.8
W,Away,2011-2012,0.4,0.4,-0.2,0.0,0.2,0.5,0.5,0.0,0,1478.384505401456,434.724507561506,1.6,1.0
W,Home,2011-2012,0.4,0.4,-0.2,0.0,0.2,1.0,0.0,0.0,0,1284.8877236030455,720.6528068088958,1.6,1.0
L,Home,2011-2012,0.8,0.2,-0.2,0.0,0.6,0.5,0.5,0.0,0,1212.4039433705943,794.6909923464045,0.8,2.2
L,Away,2011-2012,0.6000000000000001,0.2,-0.2,0.2,0.6,0.3333333333333333,0.6666666666666666,0.0,0,1526.2196513102392,419.01310383436567,0.8,1.5999999999999999
W,Home,2011-2012,0.19999999999999996,0.2,-0.2,0.4,0.4,0.6666666666666666,0.3333333333333333,0.0,0,1181.2019020654875,756.8331305146589,1.4,0.40000000000000013
W,Away,2011-2012,0.19999999999999996,0.2,-0.2,0.4,0.4,0.6666666666666666,0.0,0.3333333333333333,1,1627.2923714528004,311.8502857180076,1.4,0.40000000000000013
W,Home,2011-2012,0.39999999999999997,0.6,-0.6,0.4,0.2,0.6666666666666666,0.3333333333333333,0.0,0,1513.2271581127638,479.5128788824818,1.2,0.6000000000000001
D,Away,2011-2012,0.19999999999999996,0.4,-0.4,0.4,0.2,0.6666666666666666,0.0,0.3333333333333333,1,1783.289213840994,213.91389951503675,1.6,0.19999999999999996
W,Home,2011-2012,0.39999999999999997,0.4,-0.2,0.2,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1754.8010454200562,256.1051333263399,1.0,1.0
W,Away,2011-2012,0.20000000000000007,0.2,0.0,0.0,0.2,1.0,0.0,0.0,0,1518.6974294338922,503.8522512195518,2.0,0.6000000000000001
W,Away,2011-2012,0.4,0.2,0.0,0.0,0.4,0.6666666666666666,0.3333333333333333,0.0,1,1807.2179171783537,274.5734221144544,1.4,1.2000000000000002
W,Home,2011-2012,0.20000000000000007,0.2,0.0,0.0,0.2,0.6666666666666666,0.3333333333333333,0.0,0,1484.0773841064572,659.9103650912859,2.0,0.6000000000000001
W,Away,2011-2012,0.6000000000000001,0.2,0.0,0.0,0.6,0.6666666666666666,0.0,0.3333333333333333,0,990.6697695197114,1154.961083607066,0.8,1.8
W,Home,2011-2012,0.4,0.0,0.0,0.0,0.4,0.6666666666666666,0.3333333333333333,0.0,0,1490.8182147276882,754.6832084382643,1.8,1.2
W,Away,2011-2012,0.6,0.2,-0.2,0.0,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1234.0639362605516,1012.2383732777334,1.4,1.6
W,Home,2011-2012,0.6,0.2,-0.2,0.0,0.4,1.0,0.0,0.0,0,1271.5062222639888,1049.5756996130337,1.4,1.6
L,Away,2011-2012,0.6,0.4,-0.4,0.0,0.2,1.0,0.0,0.0,0,1088.212793590848,1233.0469934294292,1.6,1.4
W,Home,2011-2012,0.6000000000000001,0.4,-0.4,0.2,0.4,0.6666666666666666,0.3333333333333333,0.0,0,1365.9129957948603,955.2951610474215,1.0,1.4
D,Home,2011-2012,0.20000000000000007,0.2,-0.2,0.2,0.2,0.6666666666666666,0.3333333333333333,0.0,0,1564.071380794097,757.5186856469772,2.0,0.3999999999999999
L,Away,2011-2012,0.0,0.2,0.0,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2330.400829922698,-33.18029655986584,2.0,0.0
W,Home,2011-2012,0.2,0.4,-0.2,0.4,0.4,1.0,0.0,0.0,0,1563.44099875828,699.554181716376,1.0,0.3999999999999999
W,Away,2011-2012,0.4,0.6,-0.39999999999999997,0.4,0.4,0.6666666666666666,0.3333333333333333,0.0,0,1478.9492296093852,785.3596660093747,0.6,0.7999999999999999
L,Away,2012-2013,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0,1500.0,0.0,0.0,0.0
W,Home,2012-2013,-1.0,0.0,0.0,1.0,0.0,0.75,0.25,0.0,0,1550.0,-81.25,3.0,-3.0
W,Away,2012-2013,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0,1430.5754872798962,76.60215122568206,0.0,1.5
W,Home,2012-2013,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.0,0.25,0,1499.3740223106174,45.83406264451287,1.3333333333333333,0.6666666666666667
W,Away,2012-2013,0.75,0.5,-0.5,0.25,0.5,0.5,0.25,0.25,1,1423.546651032022,162.38825989945872,0.5,1.75
L,Home,2012-2013,0.4,0.4,-0.4,0.2,0.2,0.75,0.25,0.0,1,1534.2474199299943,96.56526818373459,1.6,0.7999999999999998
W,Away,2012-2013,0.6000000000000001,0.6,-0.6,0.2,0.2,0.25,0.5,0.25,0,1519.6600473332028,71.43405251785089,1.2,1.2
W,Home,2012-2013,0.6000000000000001,0.6,-0.6,0.2,0.2,0.75,0.25,0.0,0,1510.910402052981,132.8042176739964,1.2,1.2
W,Away,2012-2013,0.0,0.2,-0.2,0.2,0.0,0.5,0.25,0.25,1,1737.2906617777576,-69.75050310493316,2.6,-0.20000000000000018
W,Home,2012-2013,0.4,0.2,-0.2,0.2,0.4,0.75,0.0,0.25,1,1583.7732001961003,108.82621584626509,1.4,1.0
W,Away,2012-2013,0.6000000000000001,0.4,-0.4,0.2,0.4,0.75,0.25,0.0,0,1401.2225995757844,313.14650421832584,1.0,1.4
L,Away,2012-2013,0.6,0.4,-0.4,0.0,0.2,1.0,0.0,0.0,0,1393.5615215271948,374.461776193735,1.6,1.4
W,Home,2012-2013,0.8,0.4,-0.4,0.2,0.6,1.0,0.0,0.0,0,1200.6793567716977,560.8557294307125,0.4,2.0
W,Home,2012-2013,0.6000000000000001,0.4,-0.4,0.2,0.4,1.0,0.0,0.0,0,1555.323451867457,209.0695497045199,1.0,1.4
W,Away,2012-2013,0.6000000000000001,0.4,-0.4,0.2,0.4,0.0,0.0,0.0,0,1367.8891524501762,410.9321604331808,1.0,1.4
W,Away,2012-2013,0.20000000000000007,0.4,-0.4,0.2,0.0,0.25,0.25,0.5,1,1784.267531064189,51.688758054995105,2.2,0.19999999999999973
