result,venue,season,win_percent_before_team2,win_percent_diff,draw_percent_before_team2,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team1,average_score_before_match_team2,average_score_before_match_diff
W,Home,2000-2001,1.0,-0.19999999999999996,0.0,0.0,0.0,0.0,1.0,0,1870.2284218851048,14.83919277288237,2.4,3.0,-0.6000000000000001
D,Away,2000-2001,0.4,0.4,0.4,0.2,1.0,0.0,0.0,0,1328.4578190975958,586.5258993683863,2.4,1.6,0.7999999999999998
L,Away,2000-2001,0.2,0.39999999999999997,0.4,0.4,1.0,0.0,0.0,0,1402.858688999712,535.4728318549824,2.0,1.0,1.0
W,Away,2001-2002,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0,1500.0,0.0,0.0,0.0,0.0
L,Home,2001-2002,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0,1537.5,9.375,3.0,3.0,0.0
W,Home,2001-2002,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0,1450.0,64.78197274858235,1.5,0.0,1.5
D,Away,2001-2002,0.5,0.16666666666666663,0.5,0.0,0.0,1.0,0.0,1,1541.5318683483465,11.484808165945196,2.0,2.0,0.0
W,Away,2001-2002,0.25,0.25,0.5,0.25,0.0,0.0,0.0,0,1513.1737805185662,40.66899350427457,1.75,1.25,0.5
D,Home,2001-2002,0.4,0.19999999999999996,0.4,0.2,0.0,0.0,0.0,0,1559.217799877592,36.4945891035552,2.0,1.6,0.3999999999999999
W,Away,2001-2002,0.0,0.4,0.4,0.6,0.5,0.5,0.0,0,1394.967660466994,198.12834717233886,1.6,0.4,1.2000000000000002
W,Away,2001-2002,0.4,0.19999999999999996,0.0,0.6,0.5,0.0,0.5,0,1412.626115094905,237.30300357444412,2.2,1.2,1.0000000000000002
D,Home,2001-2002,0.4,0.19999999999999996,0.4,0.2,0.0,0.0,0.0,0,1519.2831458707096,190.40127168411914,2.2,1.6,0.6000000000000001
D,Away,2001-2002,0.2,0.39999999999999997,0.2,0.6,0.0,0.5,0.5,0,1475.9835948000457,221.2249738855046,2.2,0.8,1.4000000000000001
L,Home,2001-2002,0.2,0.2,0.4,0.4,0.5,0.0,0.5,0,1431.5297385663728,279.7456672598353,1.8,1.0,0.8
D,Away,2001-2002,0.6,-0.19999999999999996,0.0,0.4,0.5,0.5,0.0,1,1478.1300060565295,170.6359485075384,1.6,1.8,-0.19999999999999996
W,Home,2001-2002,0.4,-0.2,0.2,0.4,0.5,0.0,0.5,1,1613.5453391668834,46.598431202854954,1.2,1.4,-0.19999999999999996
W,Away,2001-2002,0.0,0.2,0.4,0.6,0.5,0.5,0.0,0,1323.006592894698,369.6375799531504,1.2,0.4,0.7999999999999999
W,Home,2001-2002,0.0,0.4,0.6,0.4,0.5,0.5,0.0,0,1550.109730510811,209.552675710416,1.6,0.6,1.0
D,Away,2001-2002,0.2,0.39999999999999997,0.4,0.4,1.0,0.0,0.0,0,1458.2376410119282,315.8222364233204,2.0,1.0,1.0
L,Home,2001-2002,0.6,0.0,0.2,0.2,0.5,0.5,0.0,0,1700.8484669030065,91.2278227820832,2.2,2.0,0.20000000000000018
W,Away,2001-2002,0.6,0.0,0.2,0.2,0.5,0.0,0.5,1,1785.8838146857345,-40.93385866933954,2.0,2.0,0.0
W,Home,2001-2002,0.6,0.0,0.2,0.2,0.0,1.0,0.0,1,1685.141790259901,87.39332228678086,2.0,2.0,0.0
W,Home,2001-2002,0.2,0.39999999999999997,0.2,0.6,0.6666666666666666,0.0,0.3333333333333333,0,1247.8294066719584,548.2568293466222,2.0,0.8,1.2
D,Home,2001-2002,0.2,0.39999999999999997,0.4,0.4,0.6666666666666666,0.0,0.3333333333333333,1,1790.7438869167986,7.895769565336195,2.0,1.0,1.0
D,Away,2001-2002,0.6,0.0,0.0,0.4,0.3333333333333333,0.0,0.6666666666666666,0,1839.49793323538,-41.42632525493809,2.0,1.8,0.19999999999999996
W,Away,2001-2002,0.0,0.6,0.6,0.4,0.6666666666666666,0.3333333333333333,0.0,0,1082.0533531923809,713.0514373886774,2.2,0.6,1.6
W,Away,2001-2002,0.2,0.39999999999999997,0.0,0.8,0.0,1.0,0.0,0,1350.431971676804,518.4557165192887,2.2,0.6,1.6
D,Home,2001-2002,0.6,0.0,0.2,0.2,0.6666666666666666,0.0,0.3333333333333333,0,1428.568571874118,499.8108430633099,2.2,2.0,0.20000000000000018
W,Away,2001-2002,0.2,0.2,0.4,0.4,0.5,0.0,0.5,0,1377.0880565646576,528.956114742924,1.8,1.0,0.8
W,Home,2001-2002,0.2,0.39999999999999997,0.4,0.4,1.0,0.0,0.0,0,1563.569608175366,402.13472154164697,2.2,1.0,1.2000000000000002
W,Away,2001-2002,0.8,0.0,0.2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1895.7435285399704,77.82692950307569,2.6,2.6,0.0
W,Home,2001-2002,0.4,0.4,0.2,0.4,0.6666666666666666,0.3333333333333333,0.0,0,1211.9090855534391,807.4237828043656,2.6,1.4,1.2000000000000002
W,Away,2001-2002,0.2,0.6000000000000001,0.4,0.4,0.6666666666666666,0.3333333333333333,0.0,0,1486.2955634673256,533.6304747970512,2.6,1.0,1.6
W,Home,2001-2002,0.2,0.8,0.2,0.6,0.0,0.6666666666666666,0.3333333333333333,0,1369.8475832349202,709.8106695343165,3.0,0.8,2.2
W,Away,2001-2002,0.4,0.6,0.2,0.4,0.3333333333333333,0.0,0.6666666666666666,0,1469.251222279259,611.85327968664,3.0,1.4,1.6
W,Home,2001-2002,0.4,0.6,0.2,0.4,0.3333333333333333,0.6666666666666666,0.0,1,1434.9135219998298,731.1806380211929,3.0,1.4,1.6
W,Home,2001-2002,0.0,1.0,0.6,0.4,0.6666666666666666,0.3333333333333333,0.0,0,1302.611064036549,864.398308295654,3.0,0.6,2.4
W,Home,2001-2002,0.8,0.19999999999999996,0.2,0.0,0.6666666666666666,0.3333333333333333,0.0,0,1521.996973522907,645.5265348970061,3.0,2.6,0.3999999999999999
W,Away,2001-2002,0.4,0.6,0.2,0.4,0.0,1.0,0.0,0,1253.151501594943,916.1535815665989,3.0,1.4,1.6
W,Away,2001-2002,0.8,0.19999999999999996,0.0,0.2,0.6666666666666666,0.0,0.3333333333333333,1,2206.1595045939985,37.76323161668279,3.0,2.4,0.6000000000000001
W,Home,2001-2002,0.4,0.6,0.2,0.4,0.6666666666666666,0.0,0.3333333333333333,0,1281.3978393729242,997.1581878209661,3.0,1.4,1.6
W,Home,2002-2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1500.0,0.0,0.0,0.0,0.0
D,Away,2002-2003,0.0,1.0,0.0,1.0,0.75,0.25,0.0,0,1453.125,84.375,3.0,0.0,3.0
W,Home,2002-2003,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0,1439.221586783907,104.23307842828649,2.0,0.0,2.0
