result,is_opponent_big6,draw_before_team1,history_team1_lose_team2,lose_before_team2,win_before_team2,venue_Home,opponent_Chelsea,opponent_Tottenham Hotspur
W,0,0.2,0.3333333333333333,0.2,0.6,0,0,0
D,1,0.2,0.1111111111111111,0.0,0.8,1,0,1
W,1,0.2,0.5555555555555556,0.2,0.8,0,0,0
W,0,0.2,0.0,0.6,0.4,1,0,0
W,1,0.2,0.3333333333333333,0.2,0.6,0,0,0
W,0,0.2,0.0,0.8,0.2,1,0,0
W,1,0.2,0.2857142857142857,0.2,0.2,0,0,0
W,0,0.0,0.6666666666666666,0.8,0.2,1,0,0
D,0,0.0,0.0,0.4,0.4,0,0,0
W,0,0.2,0.1428571428571428,0.4,0.2,1,0,0
D,0,0.2,0.2857142857142857,0.4,0.4,1,0,0
L,0,0.4,0.0,1.0,0.0,0,0,0
L,0,0.4,0.0,0.6,0.4,0,0,0
W,0,0.4,0.1111111111111111,0.6,0.2,1,0,0
W,0,0.2,0.0,0.6,0.0,0,0,0
D,0,0.2,0.0,0.4,0.0,1,0,0
L,1,0.2,0.3333333333333333,0.0,0.6,1,1,0
W,0,0.2,0.2222222222222222,0.4,0.2,0,0,0
W,0,0.0,0.1,0.0,0.0,0,0,0
W,0,0.0,0.0,0.0,0.0,1,0,0
W,0,0.0,0.1,0.6666666666666666,0.0,0,0,0
D,1,0.0,0.25,0.0,0.75,1,0,0
D,1,0.25,0.5,0.0,0.3333333333333333,0,0,0
L,0,0.4,0.25,0.4,0.2,1,0,0
W,0,0.4,0.125,0.6,0.2,0,0,0
W,0,0.4,0.0,0.4,0.2,0,0,0
D,1,0.4,0.1,0.0,0.6,1,0,1
L,0,0.4,0.3,0.4,0.2,0,0,0
W,1,0.2,0.4,0.0,0.8,1,1,0
W,0,0.2,0.0,0.6,0.2,0,0,0
W,0,0.2,0.1666666666666666,0.4,0.4,0,0,0
W,0,0.2,0.5,0.8,0.2,1,0,0
D,0,0.0,0.0909090909090909,0.2,0.8,1,0,0
W,0,0.2,0.0,0.8,0.2,1,0,0
W,0,0.2,0.0,0.2,0.4,0,0,0
W,0,0.2,0.0,0.2,0.4,1,0,0
D,0,0.2,0.0,0.6,0.4,0,0,0
W,0,0.4,0.25,0.2,0.4,1,0,0
D,1,0.2,0.3,0.4,0.4,0,0,0
L,1,0.4,0.2222222222222222,0.6,0.2,0,0,0
W,1,0.4,0.4545454545454545,0.0,0.8,1,0,0
L,0,0.4,0.3333333333333333,0.0,0.8,0,0,0
W,0,0.2,0.1111111111111111,0.4,0.6,1,0,0
W,0,0.2,0.4,0.8,0.0,0,0,0
W,0,0.0,0.0,0.2,0.2,0,0,0
W,0,0.0,0.0909090909090909,0.0,0.8,1,0,0
W,0,0.0,0.0,0.6,0.2,0,0,0
W,0,0.0,0.0,0.6,0.2,1,0,0
W,0,0.0,0.1428571428571428,0.4,0.4,1,0,0
W,0,0.0,0.2222222222222222,0.4,0.6,0,0,0
W,1,0.0,0.2727272727272727,0.2,0.8,1,0,0
D,0,0.0,0.0,0.8,0.0,1,0,0
W,1,0.2,0.0909090909090909,0.2,0.8,0,0,1
L,1,0.2,0.3636363636363636,0.0,0.8,0,1,0
D,0,0.2,0.3636363636363636,0.6,0.4,1,0,0
W,0,0.4,0.0,0.6,0.2,1,0,0
W,0,0.0,0.1,0.0,0.0,1,0,0
W,0,0.0,0.0,1.0,0.0,0,0,0
W,0,0.0,0.0,0.5,0.0,0,0,0
W,1,0.0,0.0833333333333333,0.6666666666666666,0.3333333333333333,1,0,1
L,1,0.0,0.25,0.3333333333333333,0.0,1,0,0
D,0,0.0,0.0,0.4,0.6,0,0,0
W,0,0.2,0.0833333333333333,0.6,0.2,1,0,0
W,0,0.2,0.0,0.4,0.2,0,0,0
W,1,0.2,0.4166666666666667,0.4,0.4,1,0,0
W,0,0.2,0.2,0.0,0.8,0,0,0
W,0,0.2,0.3333333333333333,0.6,0.4,1,0,0
W,0,0.0,0.4,0.6,0.2,0,0,0
W,0,0.0,0.0,0.4,0.2,0,0,0
D,1,0.0,0.4166666666666667,0.2,0.8,1,1,0
W,0,0.2,0.0833333333333333,0.4,0.2,1,0,0
W,0,0.2,0.3333333333333333,0.4,0.2,0,0,0
W,1,0.2,0.3,0.2,0.4,1,0,0
L,0,0.2,0.125,0.8,0.2,0,0,0
W,0,0.2,0.0,0.4,0.0,0,0,0
W,0,0.0,0.0,0.6,0.2,1,0,0
W,0,0.0,0.0,0.6,0.0,1,0,0
D,0,0.0,0.0769230769230769,0.6,0.4,0,0,0
W,0,0.2,0.0,0.8,0.0,1,0,0
L,1,0.2,0.3076923076923077,0.2,0.8,0,0,0
W,0,0.2,0.0,0.6,0.2,1,0,0
W,1,0.2,0.0769230769230769,0.4,0.2,0,0,1
W,0,0.2,0.0,0.6,0.2,1,0,0
W,0,0.0,0.0909090909090909,0.4,0.2,0,0,0
W,1,0.0,0.3846153846153846,0.2,0.6,0,0,0
W,0,0.0,0.1818181818181818,0.4,0.4,1,0,0
W,0,0.0,0.3636363636363636,0.4,0.6,1,0,0
L,0,0.0,0.2857142857142857,0.4,0.2,0,0,0
W,0,0.0,0.0,0.6,0.2,1,0,0
D,0,0.0,0.3076923076923077,0.8,0.2,1,0,0
W,0,0.2,0.0769230769230769,0.2,0.4,0,0,0
W,1,0.2,0.2727272727272727,0.4,0.2,0,0,0
D,1,0.2,0.3846153846153846,0.0,0.4,0,1,0
L,0,0.4,0.2222222222222222,0.4,0.6,1,0,0
D,0,0.0,0.0,0.0,0.0,1,0,0
D,0,1.0,0.375,0.0,0.0,0,0,0
L,1,1.0,0.25,0.0,1.0,0,0,0
W,1,0.6666666666666666,0.0714285714285714,0.6666666666666666,0.3333333333333333,1,0,1
W,0,0.5,0.0,0.5,0.25,1,0,0
W,0,0.4,0.0714285714285714,0.2,0.6,0,0,0
W,1,0.2,0.3571428571428571,0.2,0.4,1,1,0
W,0,0.0,0.0,0.4,0.4,0,0,0
W,0,0.0,0.0,0.6,0.0,1,0,0
W,0,0.0,0.0,0.2,0.6,0,0,0
W,0,0.0,0.2857142857142857,0.8,0.0,1,0,0
D,1,0.0,0.3571428571428571,0.0,0.8,0,0,0
W,0,0.2,0.3333333333333333,0.0,0.8,1,0,0
L,0,0.2,0.1666666666666666,0.4,0.0,0,0,0
W,0,0.2,0.0833333333333333,0.2,0.2,1,0,0
W,0,0.2,0.25,1.0,0.0,1,0,0
W,1,0.2,0.3571428571428571,0.2,0.6,0,0,0
W,0,0.0,0.0666666666666666,0.0,0.6,1,0,0
W,0,0.0,0.0,0.6,0.2,0,0,0
L,0,0.0,0.3,0.4,0.4,0,0,0
W,0,0.0,0.0,0.4,0.2,1,0,0
W,0,0.0,0.0714285714285714,0.6,0.2,1,0,0
W,0,0.0,0.0,0.6,0.2,0,0,0
W,0,0.0,0.3333333333333333,0.4,0.4,1,0,0
D,1,0.0,0.0666666666666666,0.4,0.4,0,0,1
L,1,0.2,0.3076923076923077,0.4,0.2,1,0,0
W,0,0.2,0.0666666666666666,0.6,0.0,0,0,0
W,0,0.2,0.0769230769230769,0.6,0.2,0,0,0
W,0,0.2,0.2,0.6,0.0,0,0,0
W,0,0.2,0.2307692307692307,0.8,0.2,1,0,0
W,1,0.0,0.3333333333333333,0.0,1.0,1,0,0
W,0,0.0,0.0,0.4,0.2,1,0,0
D,0,0.0,0.2666666666666666,0.4,0.2,0,0,0
W,1,0.2,0.3333333333333333,0.2,0.2,1,0,0
D,0,0.2,0.3076923076923077,0.4,0.2,0,0,0
L,1,0.4,0.3333333333333333,0.0,0.8,0,1,0
W,0,0.4,0.3636363636363636,0.6,0.2,1,0,0
W,0,0.4,0.0,0.0,0.4,0,0,0
D,0,0.0,0.0625,0.0,0.0,1,0,0
W,0,1.0,0.3,1.0,0.0,0,0,0
L,1,0.5,0.3125,0.0,0.6666666666666666,0,0,0
D,1,0.3333333333333333,0.375,0.0,0.75,0,1,0
W,0,0.5,0.2142857142857142,0.6,0.2,1,0,0
W,0,0.4,0.2857142857142857,0.4,0.4,0,0,0
W,0,0.2,0.0,0.2,0.6,1,0,0
D,0,0.2,0.0625,0.4,0.2,0,0,0
W,0,0.4,0.3333333333333333,0.6,0.4,1,0,0
W,0,0.2,0.0,0.2,0.8,1,0,0
L,1,0.2,0.3125,0.2,0.4,0,0,0
W,0,0.2,0.0,0.2,0.6,1,0,0
D,0,0.2,0.0,0.4,0.6,0,0,0
W,1,0.2,0.3571428571428571,0.6,0.2,0,0,0
W,0,0.2,0.0,0.8,0.2,1,0,0
D,1,0.2,0.0625,0.4,0.6,0,0,1
W,0,0.4,0.0,0.2,0.2,0,0,0
W,0,0.4,0.25,0.6,0.0,1,0,0
W,1,0.2,0.3529411764705882,0.0,0.4,1,1,0
W,0,0.2,0.0,0.2,0.8,1,0,0
W,0,0.2,0.2,0.8,0.2,0,0,0
W,0,0.0,0.0,0.4,0.6,0,0,0
W,0,0.0,0.0588235294117647,0.0,0.6,1,0,0
W,0,0.0,0.3076923076923077,0.0,0.6,0,0,0
W,0,0.0,0.0714285714285714,0.4,0.2,1,0,0
W,0,0.0,0.2666666666666666,0.2,0.2,1,0,0
W,0,0.0,0.0588235294117647,0.4,0.2,0,0,0
L,1,0.0,0.3529411764705882,0.2,0.6,1,0,0
L,0,0.0,0.0666666666666666,0.4,0.4,0,0,0
W,0,0.0,0.0,0.8,0.0,1,0,0
W,0,0.0,0.0,0.8,0.0,0,0,0
W,0,0.0,0.2727272727272727,0.0,0.4,1,0,0
W,1,0.0,0.0588235294117647,0.2,0.8,1,0,1
W,0,0.0,0.2352941176470588,0.6,0.2,0,0,0
W,1,0.0,0.3333333333333333,0.4,0.6,1,0,0
W,0,0.0,0.0,0.8,0.0,0,0,0
D,1,0.0,0.3529411764705882,0.2,0.6,1,0,0
W,0,0.2,0.0,0.8,0.0,0,0,0
W,0,0.0,0.0,0.0,0.0,1,0,0
L,0,0.0,0.0,1.0,0.0,0,0,0
W,0,0.0,0.0,0.5,0.5,0,0,0
W,1,0.0,0.3333333333333333,0.0,1.0,1,0,0
W,1,0.0,0.0555555555555555,0.0,1.0,0,0,1
W,1,0.0,0.3125,0.0,1.0,1,0,0
W,0,0.0,0.0,0.4,0.2,0,0,0
D,0,0.0,0.0,0.4,0.6,1,0,0
W,0,0.2,0.1875,0.2,0.4,1,0,0
L,1,0.2,0.3888888888888889,0.4,0.6,0,0,0
W,0,0.2,0.25,0.6,0.4,1,0,0
L,1,0.2,0.3333333333333333,0.4,0.6,0,1,0
W,0,0.2,0.0555555555555555,0.2,0.2,1,0,0
W,0,0.0,0.25,0.6,0.2,0,0,0
W,0,0.0,0.2857142857142857,0.2,0.4,0,0,0
L,0,0.0,0.0,0.2,0.4,1,0,0
W,0,0.0,0.5,0.6,0.4,1,0,0
L,0,0.0,0.125,0.2,0.4,0,0,0
W,0,0.0,0.0,0.4,0.2,0,0,0
W,0,0.0,0.0,0.4,0.2,1,0,0
D,0,0.0,0.0,0.0,0.6,0,0,0
W,0,0.2,1.0,0.4,0.0,1,0,0
W,0,0.2,0.0,0.4,0.0,1,0,0
W,1,0.2,0.3157894736842105,0.0,0.6,0,0,0
W,0,0.2,0.2307692307692307,0.8,0.0,1,0,0
D,0,0.2,0.0526315789473684,0.2,0.2,0,0,0
L,0,0.2,0.0526315789473684,0.2,0.8,0,0,0
W,0,0.2,0.2666666666666666,0.2,0.4,1,0,0
W,0,0.2,0.3333333333333333,0.6,0.2,0,0,0
W,0,0.2,0.1764705882352941,0.0,0.6,1,0,0
W,1,0.2,0.4210526315789473,0.4,0.4,1,0,0
W,0,0.0,0.1764705882352941,0.4,0.6,0,0,0
L,1,0.0,0.3684210526315789,0.2,0.6,1,1,0
D,0,0.0,0.2352941176470588,0.2,0.4,0,0,0
W,1,0.2,0.2941176470588235,0.2,0.8,0,0,0
W,1,0.2,0.0526315789473684,0.2,0.8,1,0,1
W,0,0.2,0.0,0.4,0.6,0,0,0
W,0,0.2,0.0,0.4,0.2,1,0,0
W,0,0.0,0.0555555555555555,0.0,0.0,1,0,0
D,0,0.0,0.1666666666666666,0.0,0.0,0,0,0
W,0,0.5,0.25,1.0,0.0,1,0,0
D,0,0.3333333333333333,0.1,0.6666666666666666,0.0,0,0,0
W,1,0.5,0.4,0.25,0.25,1,0,0
D,0,0.4,0.1666666666666666,0.2,0.2,0,0,0
D,0,0.6,0.0,0.2,0.2,0,0,0
D,0,0.6,0.0,0.2,0.4,1,0,0
W,0,0.8,0.0,0.2,0.6,0,0,0
