date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sot,pkatt,season,team,url
2022-12-30,19:45,Premier League,Matchweek 18,Fri,Away,W,2,0,West Ham,1.6,1.3,37.0,62467.0,Christian Nørgaard,3-5-2,Darren England,Match Report,,6.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-01-02,17:30,Premier League,Matchweek 19,Mon,Home,W,3,1,Liverpool,1.7,2.0,28.0,17163.0,Christian Nørgaard,3-5-2,Stuart Attwell,Match Report,,7.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-01-14,17:30,Premier League,Matchweek 20,Sat,Home,W,2,0,Bournemouth,1.4,0.6,50.0,17031.0,Christian Nørgaard,4-3-3,Jarred Gillett,Match Report,,3.0,1,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-01-22,14:00,Premier League,Matchweek 21,Sun,Away,D,0,0,Leeds United,0.4,0.5,42.0,36260.0,Christian Nørgaard,3-5-2,Peter Bankes,Match Report,,0.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-02-04,15:00,Premier League,Matchweek 22,Sat,Home,W,3,0,Southampton,2.2,0.7,49.0,17051.0,Christian Nørgaard,4-3-3,Darren Bond,Match Report,,3.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-02-11,15:00,Premier League,Matchweek 23,Sat,Away,D,1,1,Arsenal,2.0,1.6,31.0,60254.0,Christian Nørgaard,3-5-2,Peter Bankes,Match Report,,2.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-02-18,15:00,Premier League,Matchweek 24,Sat,Home,D,1,1,Crystal Palace,0.9,1.1,59.0,17122.0,Christian Nørgaard,4-3-3,Paul Tierney,Match Report,,5.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-03-06,20:00,Premier League,Matchweek 26,Mon,Home,W,3,2,Fulham,2.2,1.4,37.0,17025.0,Christian Nørgaard,4-3-3,Anthony Taylor,Match Report,,5.0,1,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-03-11,15:00,Premier League,Matchweek 27,Sat,Away,L,0,1,Everton,2.0,1.0,67.0,39274.0,Christian Nørgaard,4-3-3,Simon Hooper,Match Report,,3.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-03-15,19:30,Premier League,Matchweek 7,Wed,Away,W,2,0,Southampton,1.9,0.5,34.0,30438.0,Christian Nørgaard,4-3-3,Michael Salisbury,Match Report,,4.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-03-18,15:00,Premier League,Matchweek 28,Sat,Home,D,1,1,Leicester City,0.6,1.3,53.0,17006.0,Christian Nørgaard,4-3-3,Darren Bond,Match Report,,2.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-04-01,15:00,Premier League,Matchweek 29,Sat,Away,D,3,3,Brighton,1.6,4.2,28.0,31493.0,Pontus Jansson,5-3-2,Michael Oliver,Match Report,,5.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-04-05,20:00,Premier League,Matchweek 25,Wed,Away,L,0,1,Manchester Utd,0.7,1.2,36.0,73309.0,Pontus Jansson,5-3-2,John Brooks,Match Report,,1.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-04-08,15:00,Premier League,Matchweek 30,Sat,Home,L,1,2,Newcastle Utd,2.6,1.3,42.0,17107.0,Pontus Jansson,5-3-2,Chris Kavanagh,Match Report,,4.0,2,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-04-15,15:00,Premier League,Matchweek 31,Sat,Away,L,0,2,Wolves,1.1,0.8,50.0,30769.0,Christian Nørgaard,4-3-3,Paul Tierney,Match Report,,3.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-04-22,15:00,Premier League,Matchweek 32,Sat,Home,D,1,1,Aston Villa,2.7,1.5,44.0,17098.0,Christian Nørgaard,4-3-3,Michael Salisbury,Match Report,,5.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-04-26,19:45,Premier League,Matchweek 33,Wed,Away,W,2,0,Chelsea,1.1,1.3,29.0,39929.0,Ivan Toney,5-3-2,Andy Madley,Match Report,,1.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-04-29,15:00,Premier League,Matchweek 34,Sat,Home,W,2,1,Nott'ham Forest,1.6,0.7,68.0,17080.0,Ivan Toney,4-3-3,Peter Bankes,Match Report,,8.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-05-06,17:30,Premier League,Matchweek 35,Sat,Away,L,0,1,Liverpool,0.2,2.2,46.0,52838.0,Ivan Toney,5-3-2,Anthony Taylor,Match Report,,1.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-05-14,14:00,Premier League,Matchweek 36,Sun,Home,W,2,0,West Ham,3.4,0.2,53.0,17075.0,David Raya,4-3-3,Michael Oliver,Match Report,,9.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-05-20,12:30,Premier League,Matchweek 37,Sat,Away,W,3,1,Tottenham,1.2,1.7,39.0,61514.0,David Raya,4-3-3,Jarred Gillett,Match Report,,4.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2023-05-28,16:30,Premier League,Matchweek 38,Sun,Home,W,1,0,Manchester City,1.3,1.6,35.0,17120.0,David Raya,5-3-2,John Brooks,Match Report,,4.0,0,2022-2023,Brentford,https://fbref.com/en/squads/cd051869/2022-2023/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-08-13,20:00,Premier League,Matchweek 1,Fri,Home,W,2,0,Arsenal,1.2,1.3,36.0,16479.0,Pontus Jansson,3-5-2,Michael Oliver,Match Report,,3.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
